Latitude,Longitude,Depth,rhos_443,rhos_483,rhos_561,rhos_655,rhos_865
15.94623,73.48062,XX,0.04046,0.04192,0.04021,0.02416,0.01438
15.95531,73.46066,XX,0.03931,0.04087,0.0366,0.0229,0.01482
15.93954,73.49272,XX,0.0403,0.04332,0.04385,0.02516,0.01456
16.01266,73.44368,XX,0.04225,0.04374,0.04337,0.02667,0.01592
16.02537,73.47611,XX,0.04024,0.04165,0.04266,0.02823,0.0197
16.00645,73.48521,XX,0.04011,0.04186,0.04233,0.02563,0.01895
15.9125,73.50358,XX,0.04139,0.04241,0.04012,0.02318,0.01346
15.93959,73.46134,XX,0.03995,0.04171,0.03851,0.0241,0.01374
16.00626,73.45775,XX,0.04417,0.04583,0.04799,0.02887,0.01636
16.00687,73.42971,XX,0.04424,0.04561,0.04084,0.02625,0.01713
16.01035,73.4238,XX,0.04401,0.0458,0.04188,0.0263,0.01703
16.0278,73.43684,XX,0.04446,0.04691,0.04528,0.02803,0.0179
16.01104,73.48238,XX,0.03918,0.0409,0.03971,0.02552,0.01859
15.969,73.4415,XX,0.04161,0.04344,0.04283,0.02524,0.01451
16.02644,73.47413,XX,0.0404,0.04208,0.04367,0.02865,0.01941
16.01388,73.46273,XX,0.0413,0.04316,0.04438,0.02789,0.01759
15.88976,73.46984,XX,0.03896,0.03956,0.03431,0.02153,0.01323
15.99057,73.46263,XX,0.0412,0.04304,0.04084,0.02516,0.0152
15.95778,73.46568,XX,0.03793,0.03993,0.03765,0.0229,0.01387
16.03402,73.47239,XX,0.04027,0.04108,0.04203,0.02792,0.02023
15.94201,73.45908,XX,0.03915,0.04111,0.03732,0.02332,0.01359
15.88287,73.41695,XX,0.03755,0.03687,0.02965,0.02095,0.01356
16.00739,73.46391,XX,0.04334,0.04534,0.04796,0.02929,0.01692
15.93282,73.50174,XX,0.04053,0.04241,0.04283,0.02527,0.01459
15.97126,73.45437,XX,0.03928,0.0392,0.03804,0.02326,0.0139
15.9599,73.49678,XX,0.03726,0.03902,0.0395,0.02452,0.01659
15.92594,73.48638,XX,0.042,0.04447,0.04477,0.02513,0.01377
15.96363,73.48722,XX,0.03822,0.04011,0.03905,0.02416,0.01564
15.9551,73.47019,XX,0.0395,0.04126,0.03815,0.0234,0.01359
15.91016,73.47922,XX,0.04283,0.04546,0.04236,0.02435,0.01354
16.02995,73.4343,XX,0.04599,0.0477,0.04638,0.02918,0.01805
16.00722,73.44036,XX,0.04388,0.04474,0.0437,0.02736,0.01639
16.0184,73.41308,XX,0.04516,0.04601,0.04203,0.02706,0.01775
16.00418,73.4331,XX,0.0442,0.04592,0.04301,0.02695,0.01721
16.02644,73.43741,XX,0.04503,0.04661,0.04483,0.02842,0.01782
15.89892,73.42495,XX,0.03803,0.0379,0.03296,0.0217,0.014
16.01778,73.4386,XX,0.04318,0.0451,0.04322,0.02773,0.0171
16.00626,73.45831,XX,0.04312,0.04537,0.04754,0.02901,0.01644
15.99756,73.45529,XX,0.04564,0.04812,0.04927,0.02904,0.01613
16.03652,73.44378,XX,0.04296,0.0444,0.0437,0.02823,0.0179
15.97992,73.41534,XX,0.04309,0.04335,0.0381,0.02441,0.01541
15.90065,73.47649,XX,0.0387,0.04053,0.0349,0.02204,0.01356
15.97574,73.43696,XX,0.04296,0.04374,0.04212,0.02594,0.01495
15.88085,73.47524,XX,0.03861,0.03856,0.0321,0.02162,0.01395
15.90977,73.46269,XX,0.04021,0.04111,0.03792,0.02304,0.01384
16.02189,73.44417,XX,0.04206,0.04431,0.04397,0.0282,0.01764
16.00684,73.46363,XX,0.04366,0.04616,0.04837,0.02929,0.01705
16.00696,73.44232,XX,0.04321,0.04501,0.04471,0.02764,0.01656
16.02849,73.45786,XX,0.04293,0.0438,0.04522,0.02912,0.01851
15.97872,73.47478,XX,0.03976,0.04174,0.0383,0.02399,0.01533
16.02383,73.45116,XX,0.04366,0.04425,0.04569,0.02887,0.018
16.0054,73.45158,XX,0.04219,0.04368,0.04495,0.02787,0.01615
15.89592,73.45943,XX,0.03877,0.04053,0.03717,0.02257,0.01277
16.02457,73.44051,XX,0.04436,0.04549,0.04385,0.02817,0.01828
15.99912,73.48303,XX,0.03918,0.04065,0.03962,0.02608,0.01823
15.93949,73.44733,XX,0.04299,0.04471,0.0426,0.02466,0.01387
15.9851,73.45623,XX,0.04136,0.04283,0.03911,0.02463,0.01551
15.96386,73.48133,XX,0.0372,0.03908,0.03702,0.02318,0.01479
16.02991,73.46626,XX,0.04072,0.04259,0.04388,0.02851,0.01923
16.00843,73.42017,XX,0.04497,0.04679,0.04307,0.02689,0.01682
16.03006,73.41243,XX,0.04513,0.04649,0.04105,0.02683,0.01728
16.02431,73.44191,XX,0.04321,0.04447,0.04421,0.02828,0.01762
15.95754,73.46961,XX,0.03899,0.04093,0.03756,0.02371,0.01415
16.01757,73.41084,XX,0.04487,0.04616,0.0412,0.02672,0.01772
16.01932,73.46437,XX,0.04229,0.0431,0.04337,0.02826,0.01798
16.01047,73.44006,XX,0.04241,0.04389,0.04292,0.02667,0.01567
15.94215,73.47842,XX,0.03979,0.04074,0.03857,0.02365,0.01428
